time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
18.769178,5,668.598,106.834,1687.019,114.991,3122.595,349.923,3873.669,1492.752,4301.973,393.081
18.775428,5,668.471,106.319,1636.210,130.752,3124.297,269.449,3836.226,1646.521,4383.144,354.104
18.781678,5,696.697,95.061,1654.736,123.902,3125.639,221.001,3769.573,1702.405,4385.066,306.739
18.787928,5,718.006,83.231,1671.964,102.190,3124.902,201.149,3781.784,1746.278,4388.303,274.028
18.794178,5,738.490,60.331,1685.549,86.889,3123.176,211.371,3779.557,1985.908,4383.266,231.656
18.800428,5,752.244,66.852,1691.061,90.396,3102.180,175.851,3716.308,2160.328,4376.582,220.530
18.806678,5,777.523,61.444,1687.100,101.747,3082.953,199.134,3592.170,1963.219,4334.513,216.952
18.812928,5,799.095,52.076,1674.968,103.395,3067.312,183.416,3443.973,1919.718,4313.052,156.993
18.819178,5,806.449,51.372,1679.211,91.485,3043.916,202.990,3363.817,1886.387,4290.771,123.247
18.825428,5,808.030,57.765,1680.132,87.435,3027.095,198.731,3301.980,1977.825,4281.025,114.700
18.831678,5,808.804,64.906,1694.220,82.360,3022.761,139.297,3330.218,2591.580,4280.878,109.766
18.837928,5,813.939,72.881,1699.908,93.612,3006.970,133.639,3331.795,2877.048,4267.417,110.811
18.844178,5,816.121,84.932,1700.045,98.497,2990.047,145.709,3248.296,3055.945,4250.288,116.416
18.850428,5,815.017,97.542,1707.251,91.053,2975.777,132.367,3714.683,4619.190,4246.486,172.978
18.856678,4,829.606,119.800,1716.347,134.896,2968.113,155.120,4186.262,383.831,--undefined--,--undefined--
18.862928,4,832.685,103.808,1688.804,142.226,2950.481,166.855,4134.373,413.717,--undefined--,--undefined--
18.869178,4,840.148,120.948,1677.942,112.631,2929.540,138.879,4077.488,466.105,--undefined--,--undefined--
18.875428,4,823.966,131.959,1675.896,108.019,2919.281,199.151,4073.426,656.784,--undefined--,--undefined--
18.881678,4,810.726,137.272,1680.346,122.606,2925.432,248.164,4186.291,728.763,--undefined--,--undefined--
18.887928,4,807.607,148.294,1683.442,167.062,2927.220,231.760,4257.887,664.238,--undefined--,--undefined--
18.894178,4,790.124,161.003,1648.661,171.626,2916.579,226.717,4212.235,831.285,--undefined--,--undefined--
18.900428,4,761.983,154.312,1621.859,141.990,2912.798,204.883,4175.791,889.124,--undefined--,--undefined--
18.906678,4,759.129,146.879,1634.127,113.282,2914.048,186.241,4050.376,947.648,--undefined--,--undefined--
18.912928,4,753.618,153.787,1637.370,104.686,2913.017,183.488,4096.242,878.602,--undefined--,--undefined--
18.919178,4,754.042,177.150,1634.985,97.773,2909.339,222.210,4114.124,1121.655,--undefined--,--undefined--
18.925428,4,779.283,239.580,1629.545,87.380,2865.195,491.305,4120.207,1017.157,--undefined--,--undefined--
18.931678,4,737.374,246.939,1622.440,90.064,2910.073,384.830,4022.460,1019.942,--undefined--,--undefined--
18.937928,4,710.437,227.038,1592.049,105.629,2932.386,205.140,3889.886,564.092,--undefined--,--undefined--
18.944178,4,635.378,400.081,1596.025,148.949,2950.591,379.765,3983.196,374.861,--undefined--,--undefined--
